Session ID ,iReplica_1675543890786
Method Used ,ONOFF
Ambient Light ,Indoor

EXIF Device 
Device Brightness % ,100
Lens Model ,iPhone 13 back camera 5.1mm f/1.6
Brightness ,5.01188732474975
Aperture ,1.356143810225275
Basline Exposure: (Fastest to slowest) ,0,0,0,0
ISO (Fastest to slowest) ,32,32,32,32
Exposure Time (Fastest to slowest) ,0.007352941176470588,0.003663003663003663,0.001828153564899452,0.0009124087591240876

Processing Constants 
Black Level ,2112
White Level ,16383
White Balance RGB ,2.287842,1,1.869629
Color Conversion 
,1.347353060886324,-0.2852405376822151,-0.06211252320410827
,-0.1750403406270375,1.357892844620846,-0.1828525039938088
,0.03529660917388076,-0.6159430360574164,1.580646426883536

Standard 
Gamma Correction ,1
Mean ,733.4222
Saturation ,0

ONOFF 
Weight ,0.201934
Alpha ,75.3083
ON Beta ,1.359954
OFF Beta ,0.7556314

